odel initialized
Skipping user 8 as not enough periods (4862)
08/23/17 06:51:11 Sample 42 of 50 Precision 0.6 Recall 0.6

08/23/17 06:54:21 Sample 43 of 50 Precision 0.571 Recall 1.0

08/23/17 06:57:32 Sample 44 of 50 Precision 0.5 Recall 0.667

08/23/17 07:01:11 Sample 45 of 50 Precision 0.5 Recall 1.0

08/23/17 07:04:19 Sample 46 of 50 Precision 0.667 Recall 1.0

08/23/17 07:07:36 Sample 47 of 50 Precision 0.5 Recall 1.0

08/23/17 07:10:47 Sample 48 of 50 Precision 1.0 Recall 1.0

08/23/17 07:13:56 Sample 49 of 50 Precision 1.0 Recall 1.0

08/23/17 07:14:08 UserID 55 Test: Precision 1.0 Recall 0.6

             precision    recall  f1-score   support

        0.0       0.96      1.00      0.98        45
        1.0       1.00      0.60      0.75         5

avg / total       0.96      0.96      0.96        50

08/23/17 07:14:08 User 5 UserID 52 (Total plays [6025])
08/23/17 07:17:22 Sample 0 of 50 Precision 0.714 Recall 0.625

08/23/17 07:20:36 Sample 1 of 50 Precision 0.5 Recall 0.625

08/23/17 07:23:46 Sample 2 of 50 Precision 0.667 Recall 0.889

08/23/17 07:27:01 Sample 3 of 50 Precision 0.625 Recall 0.833

08/23/17 07:30:13 Sample 4 of 50 Precision 0.444 Recall 0.667

08/23/17 07:33:23 Sample 5 of 50 Precision 0.4 Recall 0.5

08/23/17 07:36:39 Sample 6 of 50 Precision 0.333 Recall 0.333

08/23/17 07:39:54 Sample 7 of 50 Precision 0.429 Recall 0.5

08/23/17 07:43:10 Sample 8 of 50 Precision 0.778 Recall 0.636

08/23/17 07:46:22 Sample 9 of 50 Precision 0.667 Recall 1.0

08/23/17 07:49:35 Sample 10 of 50 Precision 0.625 Recall 0.625

08/23/17 07:52:43 Sample 11 of 50 Precision 0.625 Recall 0.833

08/23/17 07:55:55 Sample 12 of 50 Precision 0.375 Recall 0.5

08/23/17 07:59:07 Sample 13 of 50 Precision 0.455 Recall 0.5

08/23/17 08:02:16 Sample 14 of 50 Precision 0.667 Recall 0.75

08/23/17 08:05:24 Sample 15 of 50 Precision 0.786 Recall 0.786

08/23/17 08:08:40 Sample 16 of 50 Precision 0.286 Recall 0.5

08/23/17 08:11:53 Sample 17 of 50 Precision 1.0 Recall 0.25

08/23/17 08:15:00 Sample 18 of 50 Precision 0.5 Recall 0.8

08/23/17 08:18:13 Sample 19 of 50 Precision 0.5 Recall 0.667

08/23/17 08:21:32 Sample 20 of 50 Precision 0.545 Recall 0.857

08/23/17 08:24:44 Sample 21 of 50 Precision 0.714 Recall 1.0

08/23/17 08:27:54 Sample 22 of 50 Precision 0.5 Recall 0.2

08/23/17 08:31:06 Sample 23 of 50 Precision 0.6 Recall 1.0

08/23/17 08:34:19 Sample 24 of 50 Precision 0.583 Recall 0.778

08/23/17 08:37:30 Sample 25 of 50 Precision 0.636 Recall 0.778

08/23/17 08:40:46 Sample 26 of 50 Precision 0.375 Recall 0.5

08/23/17 08:44:04 Sample 27 of 50 Precision 0.615 Recall 0.8

08/23/17 08:47:14 Sample 28 of 50 Precision 0.6 Recall 0.75

08/23/17 08:50:30 Sample 29 of 50 Precision 0.714 Recall 0.714

08/23/17 08:53:39 Sample 30 of 50 Precision 0.75 Recall 0.6

08/23/17 08:57:27 Sample 31 of 50 Precision 0.818 Recall 0.9

08/23/17 09:02:03 Sample 32 of 50 Precision 0.75 Recall 0.6

08/23/17 09:05:15 Sample 33 of 50 Precision 0.667 Recall 0.727

08/23/17 09:08:29 Sample 34 of 50 Precision 0.714 Recall 0.714

08/23/17 09:11:43 Sample 35 of 50 Precision 0.647 Recall 0.733

08/23/17 09:14:57 Sample 36 of 50 Precision 0.222 Recall 0.222

08/23/17 09:18:14 Sample 37 of 50 Precision 0.769 Recall 0.909

08/23/17 09:21:32 Sample 38 of 50 Precision 0.5 Recall 0.5

08/23/17 09:24:42 Sample 39 of 50 Precision 0.556 Recall 0.556

08/23/17 09:28:14 Sample 40 of 50 Precision 0.6 Recall 0.75

08/23/17 09:33:02 Sample 41 of 50 Precision 0.5 Recall 0.667

08/23/17 09:36:13 Sample 42 of 50 Precision 0.429 Recall 0.375

08/23/17 09:39:29 Sample 43 of 50 Precision 0.7 Recall 0.636

08/23/17 09:42:42 Sample 44 of 50 Precision 0.667 Recall 0.8

08/23/17 09:45:52 Sample 45 of 50 Precision 0.571 Recall 0.8

08/23/17 09:49:05 Sample 46 of 50 Precision 0.6 Recall 0.75

08/23/17 09:52:19 Sample 47 of 50 Precision 0.375 Recall 0.75

08/23/17 09:55:30 Sample 48 of 50 Precision 0.667 Recall 0.75

08/23/17 09:58:44 Sample 49 of 50 Precision 0.714 Recall 0.714

08/23/17 09:58:54 UserID 52 Test: Precision 0.444 Recall 0.571

             precision    recall  f1-score   support

        0.0       0.93      0.88      0.90        43
        1.0       0.44      0.57      0.50         7

avg / total       0.86      0.84      0.85        50

08/23/17 09:58:54 User 6 UserID 96 (Total plays [2336])
08/23/17 10:02:08 Sample 0 of 50 Precision 0.5 Recall 0.5

08/23/17 10:05:23 Sample 1 of 50 Precision 0.75 Recall 0.75

08/23/17 10:08:36 Sample 2 of 50 Precision 1.0 Recall 0.667

08/23/17 10:11:48 Sample 3 of 50 Precision 0.4 Recall 0.5

08/23/17 10:15:01 Sample 4 of 50 Precision 0.0 Recall 0.0

08/23/17 10:18:14 Sample 5 of 50 Precision 0.0 Recall 0.0

08/23/17 10:21:31 Sample 6 of 50 Precision 0.4 Recall 0.667

08/23/17 10:24:51 Sample 7 of 50 Precision 0.0 Recall 0.0

08/23/17 10:28:09 Sample 8 of 50 Precision 1.0 Recall 0.75

08/23/17 10:31:25 Sample 9 of 50 Precision 0.25 Recall 0.5

08/23/17 10:34:37 Sample 10 of 50 Precision 0.5 Recall 0.429

08/23/17 10:37:47 Sample 11 of 50 Precision 1.0 Recall 0.833

08/23/17 10:41:01 Sample 12 of 50 Precision 1.0 Recall 0.667

08/23/17 10:44:11 Sample 13 of 50 Precision 0.0 Recall 0.0

08/23/17 10:47:19 Sample 14 of 50 Precision 1.0 Recall 1.0

08/23/17 10:50:23 Sample 15 of 50 Precision 0.667 Recall 0.8

08/23/17 10:53:33 Sample 16 of 50 Precision 0.667 Recall 1.0

08/23/17 10:58:09 Sample 17 of 50 Precision 0.667 Recall 0.5

08/23/17 11:01:55 Sample 18 of 50 Precision 0.667 Recall 0.667

08/23/17 11:05:11 Sample 19 of 50 Precision 0.833 Recall 0.833

08/23/17 11:08:34 Sample 20 of 50 Precision 0.667 Recall 1.0

08/23/17 11:11:41 Sample 21 of 50 Precision 0.0 Recall 0.0

08/23/17 11:16:32 Sample 22 of 50 Precision 0.0 Recall 0.0

08/23/17 11:20:14 Sample 23 of 50 Precision 0.0 Recall 0.0

08/23/17 11:23:31 Sample 24 of 50 Precision 0.75 Recall 0.75

08/23/17 11:26:44 Sample 25 of 50 Precision 0.0 Recall 0.0

08/23/17 11:30:00 Sample 26 of 50 Precision 0.0 Recall 0.0

08/23/17 11:33:17 Sample 27 of 50 Precision 0.333 Recall 1.0

08/23/17 11:36:28 Sample 28 of 50 Precision 0.0 Recall 0.0

08/23/17 11:39:44 Sample 29 of 50 Precision 0.5 Recall 0.5

08/23/17 11:43:03 Sample 30 of 50 Precision 0.5 Recall 1.0

08/23/17 11:46:14 Sample 31 of 50 Precision 0.0 Recall 0.0

08/23/17 11:49:19 Sample 32 of 50 Precision 0.667 Recall 1.0

08/23/17 11:54:02 Sample 33 of 50 Precision 0.833 Recall 1.0

08/23/17 11:57:50 Sample 34 of 50 Precision 0.0 Recall 0.0

08/23/17 12:01:03 Sample 35 of 50 Precision 0.667 Recall 0.5

08/23/17 12:04:16 Sample 36 of 50 Precision 0.0 Recall 0.0

08/23/17 12:07:24 Sample 37 of 50 Precision 0.0 Recall 0.0

08/23/17 12:10:38 Sample 38 of 50 Precision 1.0 Recall 0.5

08/23/17 12:14:21 Sample 39 of 50 Precision 1.0 Recall 1.0

08/23/17 12:19:05 Sample 40 of 50 Precision 0.667 Recall 0.667

08/23/17 12:22:17 Sample 41 of 50 Precision 1.0 Recall 0.5

08/23/17 12:25:28 Sample 42 of 50 Precision 1.0 Recall 0.5

08/23/17 12:28:36 Sample 43 of 50 Precision 0.8 Recall 0.8

08/23/17 12:32:42 Sample 44 of 50 Precision 0.333 Recall 0.5

08/23/17 12:36:30 Sample 45 of 50 Precision 0.667 Recall 0.286

08/23/17 12:43:09 Sample 46 of 50 Precision 0.0 Recall 0.0

08/23/17 12:48:18 Sample 47 of 50 Precision 0.5 Recall 0.333

08/23/17 12:51:28 Sample 48 of 50 Precision 1.0 Recall 0.333

08/23/17 12:54:38 Sample 49 of 50 Precision 0.0 Recall 0.0

08/23/17 12:54:48 UserID 96 Test: Precision 0.0 Recall 0.0

             precision    recall  f1-score   support

        0.0       0.98      1.00      0.99        49
        1.0       0.00      0.00      0.00         1

avg / total       0.96      0.98      0.97        50

08/23/17 12:54:49 User 7 UserID 67 (Total plays [9648])
08/23/17 12:58:02 Sample 0 of 50 Precision 0.778 Recall 1.0

08/23/17 13:01:08 Sample 1 of 50 Precision 0.429 Recall 0.75

08/23/17 13:04:44 Sample 2 of 50 Precision 0.45 Recall 0.9

08/23/17 13:07:41 Sample 3 of 50 Precision 0.4 Recall 0.5

08/23/17 13:10:33 Sample 4 of 50 Precision 0.333 Recall 0.4

08/23/17 13:13:38 Sample 5 of 50 Precision 0.6 Recall 1.0

08/23/17 13:16:40 Sample 6 of 50 Precision 0.636 Recall 0.778

08/23/17 13:19:42 Sample 7 of 50 Precision 1.0 Recall 1.0

08/23/17 13:22:40 Sample 8 of 50 Precision 0.75 Recall 0.75

08/23/17 13:25:36 Sample 9 of 50 Precision 0.429 Recall 0.6

08/23/17 13:28:35 Sample 10 of 50 Precision 0.625 Recall 0.714

08/23/17 13:31:32 Sample 11 of 50 Precision 0.6 Recall 1.0

08/23/17 13:34:24 Sample 12 of 50 Precision 0.545 Recall 1.0

08/23/17 13:37:20 Sample 13 of 50 Precision 0.5 Recall 0.625

08/23/17 13:40:23 Sample 14 of 50 Precision 0.778 Recall 0.778

08/23/17 13:43:25 Sample 15 of 50 Precision 0.714 Recall 0.714

08/23/17 13:46:20 Sample 16 of 50 Precision 0.75 Recall 0.857

08/23/17 13:49:12 Sample 17 of 50 Precision 0.455 Recall 0.833

08/23/17 13:52:09 Sample 18 of 50 Precision 0.417 Recall 0.625

08/23/17 13:55:06 Sample 19 of 50 Precision 0.4 Recall 0.571

08/23/17 13:57:56 Sample 20 of 50 Precision 0.6 Recall 0.818

08/23/17 14:00:47 Sample 21 of 50 Precision 0.857 Recall 0.75

08/23/17 14:03:37 Sample 22 of 50 Precision 0.333 Recall 0.4

08/23/17 14:06:33 Sample 23 of 50 Precision 0.571 Recall 0.571

08/23/17 14:09:24 Sample 24 of 50 Precision 0.333 Recall 0.667

08/23/17 14:12:14 Sample 25 of 50 Precision 0.889 Recall 0.727

08/23/17 14:15:13 Sample 26 of 50 Precision 1.0 Recall 0.6

08/23/17 14:18:16 Sample 27 of 50 Precision 0.714 Recall 0.556

08/23/17 14:21:14 Sample 28 of 50 Precision 0.4 Recall 0.5

08/23/17 14:24:10 Sample 29 of 50 Precision 0.714 Recall 0.714

08/23/17 14:27:00 Sample 30 of 50 Precision 0.5 Recall 0.75

08/23/17 14:29:54 Sample 31 of 50 Precision 0.909 Recall 0.909

08/23/17 14:32:56 Sample 32 of 50 Precision 0.667 Recall 0.667

